sl.num,Grid Number,City name,Road_length,Network Density ,CA,population
157,G157,Bhimavaram,746.2860531,6.317524567,754.11,142184
158,G158,Mandsaur,468.2249543,4.155618791,537.27,141667
159,G159,Kumbakonam,986.9649359,8.163759383,1179.45,139264
160,G160,Chicacole,693.416561,5.925630995,947.96,137944
161,G161,Tiruvannamalai,918.0687254,7.627944478,844.19,138243
162,G162,Mandya,898.1224238,7.469576792,903.68,137358
163,G163,Bankura,280.4538193,2.474644037,1064.27,137386
164,G164,Gondia,358.6793127,3.125187893,1094.13,132821
165,G165,Hassan,1163.757566,9.696780475,1274.53,133436
166,G166,Pilibhit,189.5753712,1.749331025,623.59,131008
167,G167,Palghat,772.8414798,6.388416152,1858.6,130955
168,G168,Palakollu,335.3586306,2.838906581,441.19,129717
169,G169,Abohar,161.6152111,1.512826157,192.2,130603
170,G170,Kanchrapara,486.7887805,4.286538918,1693.04,129576
171,G171,Hanumangarh,484.404231,4.510507132,1170.36,129654
172,G172,Hathras,169.5964247,1.550275763,967.98,126882
173,G173,Basirhat,133.072353,1.169174748,225.87,125254
174,G174,Navadwip,325.5806537,2.876188574,793.99,125543
175,G175,Guntakal,486.9019122,4.094694399,478.08,126270
176,G176,Halisahar,547.1172873,4.817080276,2099.83,124939
177,G177,Rishra,1322.757613,11.62613397,4062.71,124577
178,G178,Baidyabati,597.5284716,5.254871987,1632.15,121110
179,G179,Dharmavaram,554.8096333,4.649958546,465.68,121874
180,G180,Ghazipur,162.57098,1.460650457,1189.34,121020
181,G181,Puruliya,230.8424288,2.038133759,723.72,121067
182,G182,Darjeeling,786.2095622,7.151131553,246.77,118805
183,G183,Gudivada,577.7759037,4.888493973,545.54,118167
184,G184,Sopur,439.4539187,4.303361968,902.22,118608
185,G185,Adilabad,762.8663593,6.57154261,806.13,117167
186,G186,Narasaraopet,254.0003026,2.146987925,700.14,116250
187,G187,Yavatmal,953.0077344,8.246964206,1260.05,116551
188,G188,Chittaurgarh,611.8528678,5.46670363,1063.62,116406
189,G189,Bansbaria,409.3990836,3.605064815,1535.15,103920
190,G190,Siddipet,508.9307625,4.344229108,775.99,114091
191,G191,Valparai,318.0637916,2.625343283,88.54,114308
192,G192,Osmanabad,322.2674538,2.751896105,710.44,112085
193,G193,Champdani,1126.012517,9.903253239,2484.43,111251
194,G194,Khardah,1502.433325,13.20630332,4011.79,108496
195,G195,Bangaon,209.5058119,1.846192713,296.05,108864
196,G196,Tadpatri,179.0927917,1.50432343,1031.73,108171
197,G197,Islamabad,292.6788087,2.847237269,965.17,108505
198,G198,Jalpaiguri,274.098498,2.481953062,522.26,107341
199,G199,Suriapet,373.9866728,3.175982136,856.27,106805
200,G200,Tadepallegudem,443.3545053,3.75887156,629.66,104032
201,G201,Kalyani,453.2190327,3.991076492,1573.39,100575
202,G202,Negapatam,441.6324556,3.650448248,558.42,102905
203,G203,Bundi,208.5611422,1.871645681,670.85,103286
204,G204,Bhadreswar,931.2608728,8.191592267,2326.56,101477
205,G205,Chilakalurupet,323.7678628,2.734730837,650.74,101398
206,G207,Gangtok,423.0573201,3.857892738,207.8,100286
207,G208,Dhulian,260.248756,2.321402777,987.12,95706
208,G209,Kohima,401.3241479,3.608238024,668.23,99039
209,G210,Marmagao,201.7721392,1.698673258,84.94,94393
210,G211,Jangipur,266.9333497,2.377129721,805.23,88165
211,G212,Baj Baj,139.3779333,1.22306268,709.94,76837
212,G213,Tanuku,329.2297079,2.790098427,841.91,77962
213,G214,Siuri,130.3854937,1.156210968,782.13,67864
214,G215,Tamluk,133.7079471,1.17180173,439.18,65306
215,G216,Bankra,886.0376598,7.783227588,3856.39,63957
216,G217,Nagari,119.647989,0.998233497,406.92,62253
217,G218,Chakapara,1607.332667,14.119305,5657.7,35282
218,G219,Itanagar,109.7921068,0.999181806,671.1,59490
219,G220,Mundka,1875.131487,17.31046878,3846.41,54541
220,G221,Baruipur,256.0153366,2.244718408,506.07,53128
221,G222,Mandapeta,114.1902293,0.968316871,522.87,56063
222,G223,Bhimunipatnam,159.0419554,1.355977921,430.03,55082
223,G224,Pithapuram,246.5479418,2.093376757,451.51,54859
224,G225,Amalapuram,167.7468019,1.420384,420.98,53231
225,G226,Bodupal,2305.015704,19.6021159,4132.39,43692
226,G227,Gobardanga,125.8049588,1.107008003,76.45,45377
227,G228,Diamond Harbour,120.2187828,1.052783492,185.22,41802
228,G229,Daman,281.3117206,2.434624851,769.66,39737
229,G230,Amudalavalasa,439.3110993,3.756635236,303.66,39799
230,G231,Kankuria,236.428646,2.108565216,929.24,36925
231,G232,Pujali,176.4220504,1.547967734,591.13,37047
232,G233,Chittaranjan,189.0100196,1.675480344,429.16,39098
233,G234,Panaji,662.9543036,5.583306739,160.96,40017
234,G235,Kaippakancheri,485.421804,4.014643461,420.28,33721
235,G236,Sankrail,490.4118112,4.306093773,2710.34,29114
236,G237,Elesvaram,79.72122534,0.677487565,187.73,32957
237,G238,Tarakeswar,118.9573398,1.046903771,311.18,30947
238,G239,Nibria,441.020388,3.873508313,2388.05,27818
239,G240,Kuli,178.5094312,1.593000965,668.74,28092
