Number,city_ascii,Pixel 0 ,,Pixel 10 (Tree Cover),,Pixel 20 (Shrubland),,Pixel 30 (Grassland),,Pixel 40 (Cropland),,Pixel 50 (Built-up),,Pixel 60 (Bare / sparse vegetation),,Pixel 70 (Snow and ice),,Pixel 80 (Permanent water bodies),,Pixel 90 (Herbaceous wetland),,Pixel 95 (Mangroves),,Pixel 100 (Moss and lichen),
,,PixelSum,Percentage %,PixelSum,Percentage %,PixelSum,Percentage %,PixelSum,Percentage %,PixelSum,Percentage %,PixelSum,Percentage %,PixelSum,Percentage %,PixelSum,Percentage %,PixelSum,Percentage %,PixelSum,Percentage %,PixelSum,Percentage %,PixelSum,Percentage %
35,Patiala,1114,0.0896860986547085,229768,18.4982006424552,22419,1.80491260838412,20089,1.61732857798424,469746,37.8183896756326,419043,33.7363840561625,78495,6.3194886121197,0,0,1433,0.115368204104306,3,0.0002415245026607,0,0,0,0
36,Saugor,0,0,116401,9.3712312114064,45272,3.6447657614865,208864,16.8152579079148,576299,46.3967764529712,133172,10.7214336894478,153522,12.3597748991635,0,0,8580,0.690760077609874,0,0,0,0,0,0
37,Bijapur,0,0,27540,2.21918523508537,28279,2.27873417803119,18431,1.48517803441752,568084,45.7764569748815,320673,25.8399704753279,267379,21.545516665646,0,0,10340,0.833201718619561,270,0.021756717991033,0,0,0,0
38,Shahjanpur,0,0,95849,7.71662735184485,280,0.0225422869150075,13472,1.08460603328208,756217,60.8816449428795,225926,18.1888882627143,142610,11.4812697748187,0,0,7756,0.624421347545709,0,0,0,0,0,0
39,Junagadh,0,0,401976,32.3914017450499,276291,22.2636495202241,8610,0.693797562602942,308738,24.8782429596872,209723,16.8995709897534,29811,2.40218340752106,0,0,5834,0.470106269480321,13,0.0010475456810497,0,0,0,0
40,Trichur,0,0,703757,56.7090466045015,520,0.0419018272419895,57719,4.65102224342383,218034,17.5692750016922,218859,17.6357538622203,13975,1.12611160712847,0,0,5264,0.42417542038814,22868,1.84271343340349,0,0,0,0
41,Barddhaman,0,0,199360,16.0501082834854,466,0.0375168060799768,20305,1.63471834217581,682270,54.9283074767935,196087,15.7866050510824,71279,5.73854167505293,0,0,71509,5.75705855359026,834,0.0671438117397009,0,0,0,0
42,Purnea,0,0,146689,11.8202637236542,1169,0.0941985308574725,8618,0.694442206098972,823723,66.3759593101025,207131,16.6907064970395,49656,4.00130217986198,0,0,0,0,4010,0.323127552385342,0,0,0,0
43,Sambalpur,0,0,264414,21.3065956699296,12884,1.03819835035729,165897,13.3680527576237,455635,36.7152674142382,148545,11.9698210147333,57646,4.64513987152255,0,0,135975,10.9569249215952,0,0,0,0,0,0
44,Firozabad,0,0,25848,2.08284313567489,1045,0.0842065566689981,10426,0.84013163620189,690474,55.6386966597797,290533,23.4112761040326,210835,16.9891764357016,0,0,11132,0.897021424726591,703,0.0566480472136896,0,0,0,0
45,Hisar,0,0,86820,6.99599354067217,47313,3.81250221596202,12366,0.996457683989312,512562,41.302469951555,392499,31.6277409435647,182240,14.6849788395772,0,0,7182,0.578728698561478,14,0.0011281261180535,0,0,0,0
46,Rampur,0,0,203785,16.4210843548247,1623,0.13078204925721,4810,0.387591901988403,765582,61.6909321222631,179545,14.4678145618519,85441,6.88487311804389,0,0,134,0.0107977785585126,76,0.0061241132122907,0,0,0,0
47,Bali,0,0,318123,25.6344903609681,2794,0.22514174098869,18789,1.51402583086489,116043,9.35079565123498,537733,43.3307601313783,133039,10.720340758552,0,0,110461,8.90099565187962,4014,0.323449874133357,0,0,0,0
48,Panipat,0,0,43380,3.49557935722597,3592,0.289444929717743,2517,0.20282095993863,596163,48.0390750655119,520492,41.9414728169954,73715,5.93998691373703,0,0,1137,0.0916199568733501,0,0,0,0,0,0
